title,date,url,hashtag
위대한 시크릿(The Greatest Secret) / 론다번(Rhonda byune) / 오디오북 / 책리뷰/ 32분 / 책읽어주는여자 / 따뜻한책한잔 / 자기계발,2021-12-17,https://www.youtube.com/watch?v=J4Y1vcsFrOs,#위대한시크릿 #책읽어주는여자 #오디오북 #따뜻한책한잔 #출근할때듣는 #자기전에듣는 #자기계발
잠자리동화/산신령이 구해준 효자/옛날 이야기/전래동화/오디오북/잠들기전 동화/광고없는 동화/명작/신혜tv/옛이야기/동화/잠자리 동화/수면동화,2022-02-17,https://www.youtube.com/watch?v=d58igD9IMuw,
"🤎 인생 책 추천 🤎 독서모임 3,4,5월 정산 📚 #혜영테라피",2022-06-07,https://www.youtube.com/watch?v=aBaVdN83h-I,#혜영테라피
단기 기억 상실증 | 실패했기에 여전히 갈망하는 괜찮은 사랑 | 윤정 단편소설 | 무료 오디오북 | 드라마같은 소설듣기 | 아크나,2022-05-10,https://www.youtube.com/watch?v=KXDZZ-vcRYY,#아크나오디오북 #단편소설낭독 #무료오디오북 #스티그마효과
부의 인문학/책읽어주는여자@따뜻한 책한잔 오디오북,2021-10-21,https://www.youtube.com/shorts/q5umVZF9xfs,
십덕이 설명하는 그림체 월드컵,2021-10-04,https://www.youtube.com/watch?v=htsViUsnWgI,#만화가 #그림체 #이상형월드컵
자본체력 / 자본주의 레이스에서 승리하는 힘 / 오디오북 / 27분 / 책읽어주는여자 / 따뜻한책한잔 / 제테크 / 투자마인드,2021-12-07,https://www.youtube.com/watch?v=beaxU7yRsto,#자본체력 #책읽어주는여자 #오디오북 #따뜻한책한잔 #출근할때듣는 #자기전에듣는 #제테크
학교혁명 ㅡ교육자라면 읽어야 하는 필독서,2022-01-14,https://www.youtube.com/watch?v=W-3mceZnqCU,
"[마감] 저희 아이 인생책, Wings of Fire - 나중에 성장해서 전 세계 아이들과 Wings of Fire 의 추억을 공유할 수 있길 바라요~",2021-10-05,https://www.youtube.com/watch?v=04KntwAW6UY,
"55번째 책여행/1080p고화질로 보세요/ 작고 시인의 산문을 만나요/ '보람이라는 보수','마곡사의 비'",2021-10-15,https://www.youtube.com/watch?v=4N78G_B2W7o,#친절한책라디오 #책 #여행 #오디오북 #산문 #보람이라는보수 #김소운 #마곡사의비 #홍윤숙 #책읽어주는 #독서
[2021 종로책축제] 바다의 시각으로 역사를 보다ㅣ주경철 교수(서울대 서양사학과),2021-11-16,https://www.youtube.com/watch?v=yFCXv6k2S1E,
초등 필독서 / 아마존 어린이 베스트셀러 / Diary of a 6th Grade Ninja / 챕터북,2022-02-08,https://www.youtube.com/watch?v=CMUsigqq1xQ,
[책소개]판타스틱 유니버스(찬드라가 바라본 우주의 신비-세계의 천문대),2022-04-13,https://www.youtube.com/watch?v=sgV9JU3eLwI,
[덕질TMI] 그 작품은 도대체 왜 이렇게 제목이 긴 걸까?,2021-09-11,https://www.youtube.com/watch?v=Cg_0W6P63H4,#라이트노벨 #덕질 #웹소설
재미있는 웹소설 제목 월드컵,2022-04-14,https://www.youtube.com/watch?v=eI8OWoz5aRo,#침착맨 #웹소설 #이상형월드컵
"EBS정승익 X 효린파파, 1등급 영어 공부법",2021-12-29,https://www.youtube.com/watch?v=AkqPqgJE-0w,#효린파파 #수능영어
[audiobooks]'The Little Prince' #인생책 #넌나의오아시스 :) 🌵💚,2022-05-19,https://www.youtube.com/watch?v=FhHRFSh92dA,#사막이 #샘물을 #인생책 #어린왕자 #오와시스 #영어원서추천 #쉬운영어원서
전쟁을 판타지소설로 만든 작가 '톨킨' #인문터리K #반지의제왕 #톨키니스트 #1차세계대전 #반지의제왕,2021-10-13,https://www.youtube.com/watch?v=UhpAFaQ_nEE,
