title,date,url,hashtag
아...니들스 로고 떼고싶다...,2022-02-11,https://www.youtube.com/watch?v=k9cAUZ395D4,#니들스 #셔츠 #아메카지 #스컬프스토어 #후기 #리뷰
📌68kg 피팅모델 체형커버 코디룩북📌 outfitㅣlook-bookㅣ66사이즈ㅣ77사이즈ㅣ키작녀ㅣ쇼핑몰ㅣ날씬해보이는코디ㅣ,2022-03-12,https://www.youtube.com/watch?v=ascmsevZpHY,#룩북 #통통녀
잠옷바지 홈웨어 찰랑거리는 소재감,2021-09-21,https://www.youtube.com/shorts/Ixycw20dHfw,
치노 와이드 밴딩 코튼 팬츠,2021-09-01,https://www.youtube.com/shorts/Nlp4JSSyWPo,
유니클로에서 출시한 역대급 데님팬츠,2022-02-16,https://www.youtube.com/watch?v=P4sBaidETAo,#유니클로 #데님팬츠 #청바지
코르셋 처자 #shorts #쇼츠,2021-10-02,https://www.youtube.com/shorts/O0g4f7tGqGY,
봄에 어울리는 핑크 레이스🍧 | 레이스원피스 미니원피스 하객룩 데이트룩 데일리,2022-05-04,https://www.youtube.com/shorts/fm9yaZomyQs,#룩북 #하객룩 #데이트룩 #출근룩 #새내기룩 #개강룩 #봄룩북 #여름룩북 #오피스룩 #직장인룩 #여친룩 #대학생룩 #꾸안꾸룩 #간절기룩 #남심저격 #패션룩북 #세로룩북 #결혼식룩 #데일리룩
방울 도트 3단 캉캉 끈 조절 뷔스티에 롱 원피스/뷔스티에 원피스 코디,2021-07-22,https://www.youtube.com/shorts/z0Fnz07Pqu8,
[엔하이픈 정원] 상남자 흑발에 라이더자켓 양정원...//boy in luv,2021-07-10,https://www.youtube.com/shorts/tgTm8zDwt68,
[lookbook] DIY/ 아이옷만들기/ 엄마가만든옷/ 시밀러룩/ 커플룩/ 아들룩/ 체크스커트/ 멜빵바지/ 가을데일리룩,2021-10-20,https://www.youtube.com/watch?v=qV84OGl06hw,
광고 네파바람막이 안사면 후회! 간단하게 정리 추천 TOP10,2022-05-07,https://www.youtube.com/watch?v=iibEwQeUKtM,#봄여름 #네파 #남성 #에코스포츠 #네파 #고랄 #네파
여름원피스 추천 판매순위 Top10 || 가격 평점 후기 비교,2022-04-12,https://www.youtube.com/watch?v=hw1NLJGBboY,#캐럿 #세이스타일 #투와이 #티탁 #아이엠수 #세컨핑크 #아이엠수 #타니즈 #아뗄릭 #대박난박양 #여름원피스추천 #여름원피스가격 #여름원피스후기 #가성비여름원피스 #여름원피스순위
4 .롱패딩 입은 여자가 있었나,2021-05-31,https://www.youtube.com/watch?v=i7PQ4FZYDuE,
