,title,date,url,hashtag,class
3360,"행복여 | 블록 레터링 루즈핏 봄 맨투맨 티셔츠 | 15,600원 | 라이브방송 | 봄신상 | 데일리 캐주얼 코디",2022-03-21,https://www.youtube.com/shorts/jdIctLzCWxA,,1
15507,FALL LOOKBOOK / 03년생 / 모자추천 / 가을룩북 ㅇㅈㄹ,2021-09-21,https://www.youtube.com/watch?v=EOTGHHoRp2w,,1
8872,"존.예 겨울 원피스 하울~♥? 이쁘고 편한것만 골라와쏘?? (연말룩,하객룩,겨울코디)",2021-11-28,https://www.youtube.com/watch?v=DgZa_ttSqY8,#원피스하울 #겨울원피스 #겨울패션하울,1
2704,가디건 이것만 알면 끝! - 가격대별 필수 가디건 추천 [코스/엘무드/일꼬르소/네이더스/이얼즈어고/브라운야드][남자 가디건/봄 아우터/남자봄옷/남친룩],2022-03-17,https://www.youtube.com/watch?v=mpQEPl0qTiU,,1
82,15분 초간단? 꾸안꾸 데일리 메이크업+스킨케어??,2022-02-05,https://www.youtube.com/watch?v=dNIHZPYP45A,#왕초보메이크업 #데일리메이크업 #화장잘먹는법,0
29,블라인드파일즈 vlindfiles 밀스펙 m-65 카고팬츠 리뷰 아메카지 아메리칸캐쥬얼 밀리터리 카고 팬츠 추천,2022-02-24,https://www.youtube.com/watch?v=JP7BH2Oc2Y0,,1
8412,세즈윅 : RSK1287 merpy shirring skirt,2022-04-15,https://www.youtube.com/shorts/odYCfMRWOig,,1
5231,[통아웃도어] 요즘같은 날씨엔 포근한 플리스 자켓,2021-10-21,https://www.youtube.com/watch?v=sxkiU3ca15Q,,1
12854,가을 룩북 | 가을코디 | Feat.뮤흐뮤흐 | 에이블리하울 |브랜디| 07 | 봄코디| 중학생코디 | 겨울코디 | 에이블리옷추천| 으응| 10대코디|중학생옷,2021-09-13,https://www.youtube.com/watch?v=L9Wg3WT2eA8,,1
1675,6가지 체형별 입어야 할 옷 vs 피해야 할 옷???? 아이템별로 콕콕~짚어봄??,2021-06-19,https://www.youtube.com/watch?v=-_qbMATlXic,,1
13633,가죽자켓 | 가죽치마 | 미니스커트 | miniskirt,2022-01-28,https://www.youtube.com/watch?v=lSVi3hIXoWk,,1
13547,"Vlog | 맛집 찾아다닌 일상 그리고 봄옷???? 쇼핑과 언박싱??(랄프로렌, 타입서비스.,)",2022-04-25,https://www.youtube.com/watch?v=RmeMFAq0lkU,#언박싱 #랄프로렌 #맛집브이로그,1
16016,은은한 섹시함과 페미닌함을 동시에 ??,2021-11-04,https://www.youtube.com/shorts/QBWcf8g0xGw,#스위트글램,1
14664,알록달록 캐쥬얼! 봄~여름 데일리룩 패션하울 (대학생데일리룩) | 민스코 Minsco,2022-04-19,https://www.youtube.com/watch?v=xD6nXRgtozk,#봄데일리룩 #여름데일리룩 #패션하울,1
9183,2022년 기모트레이닝바지 가성비상품 1위부터 10위까지 추천순위 TOP10,2022-01-25,https://www.youtube.com/watch?v=bSYYVbXGJHo,#바디원 #파르데스 #잘빠진 #남자 #티데일리 #그랜피니 #미루나무 #아우라큐,1
14160,원피스 추천 판매순위 Top10 || 가격 평점 후기 비교,2022-04-04,https://www.youtube.com/watch?v=frc7IvF5FTY,#아이엠수 #아이엠수 #빼빼 #페이퍼먼츠 #타니즈 #루나걸 #타니즈 #비비에모 #포플러앤씨 #포플러앤씨 #원피스추천 #원피스가격 #원피스후기 #가성비원피스 #원피스순위,1
14893,"2021마지막 세일시즌 겨울옷 쇼핑 언박싱?? 땡큐포구독자님??영상편지남김??네이버쇼핑,렉토원피스,w컨셉세일,선물언박싱,조거팬츠,망고세일,플라잉타이거,자라세일,띵크플랜트",2021-12-31,https://www.youtube.com/watch?v=qjQN-dlrHp8,#자라세일 #망고세일 #렉토원피스,1
2054,"딱 10일간, 비건 레더 숏패딩 70% 할인! 남자 가성비 아우터 추천",2021-12-09,https://www.youtube.com/watch?v=kVciY5zenL8,#가성비 #숏패딩 #남자패션,1
