,title,date,url,hashtag
2526,봄 기본템 완.벽.정.리🌼 실패없는 클래식 코디 방법 30가지! (대학생 개강룩 & 직장인 데일리룩 추천),2022-02-04,https://www.youtube.com/watch?v=lbYK1wQ8PCo,#봄기본템 #기본템 #봄코디
14821,[VLOG] 🍂10월 일상 ( 가을옷 쇼핑했더니 겨울 / 백신맞으면 고기가 약이지 / 더현대서울 / 꼬치킬러 / 노들섬 / 🍻술콸콸 / new 깐부(?)모임 ),2021-10-29,https://www.youtube.com/watch?v=nPc1WWC-acA,
15813,"패션파워 트위키 주름옷 플리츠스커트, 44-99사이즈 다됨!",2022-04-14,https://www.youtube.com/watch?v=BYMYdY4VRuI,
12878,[PONY ZIENNE] 울50 골지 롱 니트,2022-01-18,https://www.youtube.com/shorts/lnfTeyqBERU,#데일리룩 #원피스 #니트 #니트원피스 #코디 #쇼핑몰 #의류 #옷 #패션
2187,"안개꽃 소매 시스루 캉캉 가을 쉬폰 원피스/탈부착 가능한 세미 크롭 후드 데님 청 자켓 청자켓코디,여성청자켓,가을원피스,쉬폰원피스코디",2021-08-26,https://www.youtube.com/shorts/96Tp68DTqFI,
7553,Easy하게 입어도 무심하게 툭 입어도 멋 낼 수 있는 원피스 코디 40여가지!!｜지완Gwan's pick,2022-05-25,https://www.youtube.com/watch?v=ny7p8SwmElw,#펀로드 #원피스 #데일리
7540,교이루 ~! MK 굿즈 후드티 개봉 두둥 ••,2022-01-04,https://www.youtube.com/watch?v=vzTc2l4lfVk,#김민교 #김민교후드티 #택배언박싱 #후드티 #교이루
11820,"여자들이 좋아하는 6월 남자여름코디 남친룩 2탄(반팔셔츠,반바지,셔츠자켓)",2021-06-20,https://www.youtube.com/watch?v=-VMYQBp4r2o,#남자여름코디 #여름남친룩
12545,화이트 스커트 여성 2021 봄 새로운 주름 케이크 스커트 중간 길이 하이 웨이스트 슬림 쉬폰 롱 스커트,2021-08-14,https://www.youtube.com/shorts/F7OYDRPMeu8,
12475,22 SPRING 카라 원피스 1종,2022-01-25,https://www.youtube.com/watch?v=G3POoWQ2y10,
6170,직장인 여름정장 와이셔츠 넥타이 착용 리뷰 mens suit review,2021-06-16,https://www.youtube.com/watch?v=z4DIx79atGk,
11610,[MADE] 에스먼드 밴딩 와이드 팬츠 - 3 color,2021-07-06,https://www.youtube.com/shorts/v77t6hOkEc0,
13106,기모 후드 홈웨어 맨투맨 롱원피스 3컬러,2021-11-24,https://www.youtube.com/shorts/PxSctm4BTU4,
11866,[지민/귀여움] 자기보다 큰 후드티 입겠다고 뽀짝뽀짝 움직이는 강양이ㅠㅠㅠ,2022-01-17,https://www.youtube.com/watch?v=aQDeccRZg-E,
16534,[몽글리다] 2022 여자 봄 코디 - 러브 레터링 맨투맨,2022-02-26,https://www.youtube.com/shorts/fKRHFBjuIJc,
15501,162cm 47kg 편한데 예쁜거 좋아하는 여름 룩북🧢👚👖 | 아마 이 코디만 입게될걸? | 자라 | H&M | 챔피온 | 나이키,2021-07-13,https://www.youtube.com/watch?v=8CGGMPSX4-U,
9195,"모노폰트 - 21FW - 스페셜 셀렉션, 크롭 자켓 보라(Crop Jacket)",2021-10-19,https://www.youtube.com/watch?v=vAWrKOzzQWI,#데이트룩 #데일리룩 #출근룩 #러블리 #나를찾아서 #너무이쁘네 #소장각 #따뜻함 #살짝추울때 #한파
13068,유아원피스 나에게 필요한! 구경하세요 추천 TOP10,2022-04-18,https://www.youtube.com/watch?v=Uw08D2dNi1w,#고잉키즈 #오즈키즈 #여아용 #고잉키즈 #노블엔젤 #꼰띠키즈 #고잉키즈 #아르베 #미소파파 #밀크마일
12320,여름 쿨링 와샤 링클 반팔 셔츠 자켓(3컬러),2021-06-02,https://www.youtube.com/shorts/5dKZmd3LcDo,
4500,#tweedjacket #하객룩 #트위드자켓 #트위드자켓코디 #트위드자켓추천 #tweed #출근룩#shorts,2022-02-28,https://www.youtube.com/shorts/2MIDy4d80eU,
15519,이집트문양스커트 리폼,2021-08-31,https://www.youtube.com/shorts/AGsamUn_xJ8,
13702,빈티지 데님은 어떤 점이 다를까? #shorts,2022-03-31,https://www.youtube.com/shorts/F1VA0hMMk0k,#귀리뷰 #청바지 #데님 #봄코디
317,아소카왕의 사랑과 남방불교의 시작 - 불교특강_에피소드 인도9,2021-09-08,https://www.youtube.com/watch?v=GizsSmqUPCg,
