,product_name,price,review,likes,views,total_sales,type
0,와이드 데님 팬츠 (LIGHT BLUE),"49,000원 44,100원","55,541","112,857",22.2만 회 이상,8만 개 이상,데님팬츠
1,SL01 시밀러 린넨 데님 와이드 팬츠 (RAW INDIGO),"49,000원 39,000원","8,638","34,899",25.7만 회 이상,3만 개 이상,데님팬츠
2,와이드 데님 팬츠 (DEEP GREY),"49,000원 44,100원","36,971","80,397",11.6만 회 이상,5.9만 개 이상,데님팬츠
3,1931 OBJECT JEANS [CROP STRAIGHT],"78,000원 59,000원","56,095","68,112",6만 회 이상,3.3만 개 이상,데님팬츠
4,와이드 데님 팬츠 (BLEACH),"49,000원 44,100원","13,350","44,256",11.6만 회 이상,2.5만 개 이상,데님팬츠
5,5/24 배송 이지 와이드 데님 팬츠 블랙,"49,000원 43,600원","2,261","23,469",12.6만 회 이상,1만 개 이상,데님팬츠
6,1968 HIMALAYA JEANS [WIDE STRAIGHT],"78,000원 68,000원","6,739","21,623",11.5만 회 이상,1.3만 개 이상,데님팬츠
7,1967 JET BLACK JEANS [WIDE STRAIGHT],"78,000원 68,000원","17,869","56,802",8.3만 회 이상,3.4만 개 이상,데님팬츠
8,ODPL 와이드 데님 핏 내츄럴크림진,"62,000원 36,900원","10,498","34,878",8.4만 회 이상,2.7만 개 이상,데님팬츠
9,Punk Town - MOD4 crop,"98,000원 68,600원","28,040","35,949",2.7만 회 이상,1.6만 개 이상,데님팬츠
10,[-8cm 숏버전 추가] #0214 Moderation indigo straight fit,"83,000원 59,000원","18,974","37,929",3.3만 회 이상,3.3만 개 이상,데님팬츠
11,[쿨탠다드] 슬림 크롭 데님 팬츠 [라이트 인디고],"41,900원","3,739","11,470",5.8만 회 이상,6.1천 개 이상,데님팬츠
12,[테이퍼드핏]BLACK NORMAL CHIP,"84,000원 42,000원","11,875","37,289",4만 회 이상,1.9만 개 이상,데님팬츠
13,스트레이트 데님 팬츠 [라이트 인디고],"39,900원",779,"4,446",5.4만 회 이상,3.7천 개 이상,데님팬츠
14,Mine worker ST Develop / NewCrop,"89,000원 69,000원","13,947","24,289",3.1만 회 이상,1만 개 이상,데님팬츠
15,SL01 시밀러 린넨 데님 와이드 팬츠 (BLEACH),"49,000원 39,000원","1,836","8,842",4.8만 회 이상,7.2천 개 이상,데님팬츠
16,5/17 배송 이지 와이드 데님 팬츠 그레이,"49,000원 43,600원","1,665","18,001",7.4만 회 이상,7.5천 개 이상,데님팬츠
17,슬림 크롭 데님 팬츠 [라이트 인디고],"39,900원 35,890원","7,379","14,146",2.9만 회 이상,1만 개 이상,데님팬츠
18,모어 와이드 데님 팬츠 (RAW INDIGO),"49,000원 39,000원","5,265","28,458",4만 회 이상,1.9만 개 이상,데님팬츠
19,와이드 데님 팬츠 (IVORY),"49,000원 44,100원","3,473","12,476",3.5만 회 이상,5.3천 개 이상,데님팬츠
20,Tydi crop jeans #0064,"96,000원 82,000원","16,204","19,972",8.3천 회 이상,4.5천 개 이상,데님팬츠
21,슬림 크롭 데님 팬츠 [미디엄 인디고],"39,900원","5,740","11,770",2.1만 회 이상,1.2만 개 이상,데님팬츠
22,6/7 배송 BUCKLE WIDE DENIM PANTS BLACK,"69,000원 51,750원","1,109","21,426",6.6만 회 이상,4.2천 개 이상,데님팬츠
23,Plant Manager2 / New Crop,"89,000원 66,750원","12,138","13,079",1.2만 회 이상,4천 개 이상,데님팬츠
24,062 테이퍼드 핏 내츄럴크림 진,"79,000원 55,300원","6,201","18,797",1.7만 회 이상,1.1만 개 이상,데님팬츠
25,SL01 시밀러 린넨 데님 와이드 팬츠 (LIGHT BLUE),"49,000원 39,000원","1,092","5,328",4.4만 회 이상,4.3천 개 이상,데님팬츠
26,레귤러 핏 데님 팬츠 [스카이 블루],"39,900원",233,"1,477",3.5만 회 이상,1.4천 개 이상,데님팬츠
27,모어 와이드 데님 팬츠 (BLEACH),"49,000원 39,000원","1,940","10,667",2.7만 회 이상,7.4천 개 이상,데님팬츠
28,테이퍼드핏 데님 팬츠 DP T908,"59,000원","5,111","21,512",2.1만 회 이상,6.6천 개 이상,데님팬츠
29,Stone Worker ST Greyish / NewCrop,"87,000원 65,250원","8,467","12,263",1.2만 회 이상,3.7천 개 이상,데님팬츠
30,슬림 크롭 데님 팬츠 [블랙],"39,900원 35,890원","4,610","8,590",1.2만 회 이상,7.9천 개 이상,데님팬츠
31,Black Stardust - MOD1w,"106,000원 79,500원","6,079","15,191",3.8만 회 이상,1만 개 이상,데님팬츠
32,5/23 배송 #0237 trabus paint jeans,"98,000원 69,000원","9,305","17,380",2.9만 회 이상,6.5천 개 이상,데님팬츠
33,Bluish Medium Blue / New Stan,"92,000원 73,600원","3,859","10,239",2만 회 이상,5.1천 개 이상,데님팬츠
34,SL01 시밀러 린넨 데님 와이드 팬츠 (BLACK),"49,000원 39,000원",251,"2,481",4.1만 회 이상,1.5천 개 이상,데님팬츠
35,1880 PURE CREAM JEANS [WIDE STRAIGHT],"78,000원 68,000원","2,725","8,297",3.1만 회 이상,6.4천 개 이상,데님팬츠
36,#0199 Sensitive -B standard fit,"89,000원 63,000원","9,086","18,702",1.4만 회 이상,6.7천 개 이상,데님팬츠
37,[CONA 9110] (숏버전옵션) 시크릿밴드 롱 루즈 와이드 데님 (다크그레이),"50,000원 45,000원","6,612","46,009",2.8만 회 이상,1.2만 개 이상,데님팬츠
38,커브드 와이드 데님 팬츠_크림,"107,000원 85,600원","1,057","5,944",5.4만 회 이상,2.6천 개 이상,데님팬츠
39,스트레이트 데님 팬츠 [스카이 블루],"39,900원",205,"1,626",2.9만 회 이상,1.3천 개 이상,데님팬츠
40,P[1005]롱 와이드 데님팬츠 (라이트블루),"68,000원 29,800원","3,440","12,568",1.5만 회 이상,4.9천 개 이상,데님팬츠
41,Banding One Tuck Wide Denim Pants - Deep Blue,"89,000원 49,000원",735,"8,832",3.3만 회 이상,3.2천 개 이상,데님팬츠
42,모어 와이드 데님 팬츠 (OFF WHITE),"49,000원 39,000원","2,567","12,172",2.3만 회 이상,7.9천 개 이상,데님팬츠
43,[유아인 착용 상품] 와이드 데님 팬츠 [워시드 블랙],"39,900원","2,773","8,198",1.9만 회 이상,6.3천 개 이상,데님팬츠
44,51005 HISHITOMO COLLECTION LIGHT BLUE JEANS [RELAX STRAIGHT],"103,000원 97,850원","3,163","8,363",2.9만 회 이상,3.8천 개 이상,데님팬츠
45,로프 와이드 더블 데님 팬츠,"96,000원 76,800원","1,955","7,642",3.8만 회 이상,3.3천 개 이상,데님팬츠
46,레귤러 핏 데님 팬츠 [워시드 블랙],"39,900원","6,433","12,540",1.6만 회 이상,1.1만 개 이상,데님팬츠
47,밴딩 데님 팬츠 DP L902,"53,000원","3,676","13,156",9천 회 이상,4.2천 개 이상,데님팬츠
48,1898 BLANK JEANS [WIDE STRAIGHT],"78,000원 68,000원","3,434","7,218",2.5만 회 이상,5.1천 개 이상,데님팬츠
49,#0245 Black crude wide fit,"98,000원 69,000원","5,846","15,542",1.4만 회 이상,7.4천 개 이상,데님팬츠
50,[테이퍼드핏]I CREAM CHIP,"69,000원 42,000원","5,055","13,777",1.1만 회 이상,3.4천 개 이상,데님팬츠
51,모어 와이드 데님 팬츠 (DEEP GREY),"49,000원 39,000원","3,247","15,189",1.8만 회 이상,1만 개 이상,데님팬츠
52,와이드 데님 팬츠 (BLACK),"49,000원 44,100원","4,269","11,856",1.8만 회 이상,6.8천 개 이상,데님팬츠
53,XP67 오키드 청해지 팬츠 (BLACK),"49,000원 39,200원",491,"4,692",2.9만 회 이상,1.8천 개 이상,데님팬츠
54,black crop jeans #0069,"89,000원 75,000원","7,558","10,697",5.3천 회 이상,3.3천 개 이상,데님팬츠
