,product_name,price,review,likes,views,total_sales,type
0,5/27 배송 [리뉴얼 ver.] 린넨 세미 와이드 밴딩 팬츠 세트,"66,000원 49,500원","4,646","38,749",64.9만 회 이상,3.1만 개 이상,코튼팬츠
1,[Package]테이퍼드 와이드 원턱 린넨 팬츠_9Color,"72,000원 49,800원",922,"16,920",36.5만 회 이상,1.1만 개 이상,코튼팬츠
2,테이퍼드 와이드 원턱 린넨 팬츠_Oatmeal,"36,000원 29,800원","11,569","45,256",24.2만 회 이상,4.3만 개 이상,코튼팬츠
3,테이퍼드 와이드 원턱 린넨 팬츠_Black,"36,000원 29,800원","5,268","19,346",10만 회 이상,2.3만 개 이상,코튼팬츠
4,테이퍼드 와이드 원턱 린넨 팬츠_Martine Olive,"36,000원 29,800원","8,142","23,823",9.2만 회 이상,2.7만 개 이상,코튼팬츠
5,P[1003]롱 와이드 코튼팬츠(베이지),"68,000원 29,000원","20,914","50,317",4.6만 회 이상,2.5만 개 이상,코튼팬츠
6,5/18 배송 [패키지] 플레인(여름용) 코튼 밴딩팬츠 CJLP7509 2PACK,"63,800원 51,000원","5,798","22,396",4.3만 회 이상,2.3만 개 이상,코튼팬츠
7,5/19 배송 시티보이 빅포켓 와이드 밴딩 카고팬츠 진베이지,"59,000원 47,200원",960,"9,983",6.7만 회 이상,4.6천 개 이상,코튼팬츠
8,[세트상품] 린넨 9부 밴딩 팬츠,"80,000원 36,800원","12,122","21,049",2.7만 회 이상,1.4만 개 이상,코튼팬츠
9,테이퍼드 와이드 원턱 린넨 팬츠_MidNight Blue,"36,000원 29,800원","2,346","7,738",5.3만 회 이상,8.2천 개 이상,코튼팬츠
10,6/22 배송 컴포트 와이드 치노팬츠 베이지,"59,000원 53,100원",290,"2,053",5.5만 회 이상,1.6천 개 이상,코튼팬츠
11,6/30 배송 [스탠다드]ONE TUCK CURVED JEAN_IVORY,"69,000원 55,200원","2,490","13,209",7.3만 회 이상,6.4천 개 이상,코튼팬츠
12,와이드 절개 벌룬팬츠 코튼 카키,"69,000원 55,200원","1,599","12,239",5.8만 회 이상,5.2천 개 이상,코튼팬츠
13,5/20 배송 시티보이 빅포켓 와이드 밴딩 카고팬츠 카키,"59,000원 47,200원",785,"6,589",2.9만 회 이상,3천 개 이상,코튼팬츠
14,라이트웨이트 테이퍼드 치노 팬츠 [라이트 그레이],"29,900원 17,890원",575,"1,203",3.1만 회 이상,1.8천 개 이상,코튼팬츠
15,[리뉴얼 ver.] 린넨 루즈 테이퍼드 밴딩 팬츠 세트,"66,000원 49,500원",445,"2,386",2.5만 회 이상,2천 개 이상,코튼팬츠
16,와이드 치노 팬츠 [베이지],"32,900원","2,072","6,238",2.5만 회 이상,2.3천 개 이상,코튼팬츠
17,원턱 와이드 코튼 팬츠 (KHAKI),"49,000원 36,500원","1,376","10,144",3.5만 회 이상,5.2천 개 이상,코튼팬츠
18,린넨 9부 밴딩 팬츠 4color,"40,000원 19,800원","6,460","7,449",8천 회 이상,4.7천 개 이상,코튼팬츠
19,시티보이 빅포켓 와이드 밴딩 카고팬츠 블랙,"59,000원 47,200원",490,"5,341",2.2만 회 이상,2.5천 개 이상,코튼팬츠
20,cotton fatigue pants regular fit beige,"59,000원","9,477","17,212",2.4만 회 이상,5.1천 개 이상,코튼팬츠
21,테이퍼드 와이드 원턱 린넨 팬츠_Cream,"36,000원 29,800원","1,592","5,624",3.4만 회 이상,5.2천 개 이상,코튼팬츠
22,[패키지] 스콘 와이드 벌룬팬츠 2PACK YHLP2350,"69,800원 59,300원","2,219","8,458",2만 회 이상,7.4천 개 이상,코튼팬츠
23,테이퍼드 와이드 원턱 린넨 팬츠_Olive Khaki,"36,000원 29,800원",78,"1,953",6.3만 회 이상,1천 개 이상,코튼팬츠
24,유스 와이드 카고팬츠 4종 블랙 YHLP2159,"39,800원","7,195","16,826",1.5만 회 이상,8.5천 개 이상,코튼팬츠
25,테이퍼드 치노 팬츠 [라이트 그레이],"32,900원 22,990원","5,920","5,091",1.2만 회 이상,3.6천 개 이상,코튼팬츠
26,CP 306 워싱 테이퍼드핏 면팬츠 LG,"59,000원 42,000원","7,420","8,629",5.9천 회 이상,2천 개 이상,코튼팬츠
27,테이퍼드 와이드 원턱 린넨 팬츠_Ash Gray,"36,000원 29,800원",66,"1,329",3.8만 회 이상,700개 이상,코튼팬츠
28,5/17 배송 Wide Officer Pants Beige,"109,000원 100,000원",425,"4,091",4만 회 이상,1.4천 개 이상,코튼팬츠
29,[패키지]할로우 밴딩 쿨 크롭팬츠 2pack CJLP7378,"59,600원 49,800원","1,776","4,745",9.4천 회 이상,4천 개 이상,코튼팬츠
30,테이퍼드 치노 팬츠 [크림],"32,900원","5,053","6,189",1만 회 이상,3.9천 개 이상,코튼팬츠
31,유스 와이드 카고팬츠 4종 카키 YHLP2159,"39,800원","4,195","9,838",1.2만 회 이상,5.8천 개 이상,코튼팬츠
