제목,업로드일,주소
"150 / 160 / 170cm 다양한 소재의 원피스 핏 보여드려요👗 (+원피스코디, 키 별 쇼핑팁!)  [핏보고서 EP.02]",2021-11-19.,https://www.youtube.com/watch?v=KYJj06Ly9Ao
여름엔 원피스 하나로 충분해! 베스트 중 베스트만 모았다💚 77사이즈 통통녀 여름 원피스 추천 | 66사이즈 | 88사이즈 | 통통한 여자 코디 | 패션 하울 | 데일리룩,2021-8-7.,https://www.youtube.com/watch?v=oZr5DTD4fM0
뷔스티에원피스 추천 판매순위 Top10 || 가격 평점 후기 비교,2022-4-5.,https://www.youtube.com/watch?v=0z7UMFSWyN8
162cm 뷔스티에 원피스,2022-2-23.,https://www.youtube.com/shorts/Qf-OK-lUeLQ
"[ 백만개브랜드💐 ] 원피스 맛집, 리리앤코? 제 점수는요..",2021-6-20.,https://www.youtube.com/watch?v=n7vmrdUXlMw
[패션] 어떤 뷔스티에 입고 계신가요?(ft.레깅스)ㅣ케이스타일리스트,2021-7-1.,https://www.youtube.com/watch?v=Fy10gbtNVec
"2172978)뷔스티에 롱 원피스/패턴,Bustier Long Dress",2021-7-29.,https://www.youtube.com/watch?v=I7UOVYz9C0M
2단계 동손 - 양면 뷔스티에 원피스,2021-6-29.,https://www.youtube.com/watch?v=TbBPzrBbb1g
"55-99size🦋 폭염에 입기좋은 빅사이즈 룩북✨원피스 총집합, 활용도 좋은 기본템으로 다양하게 코디하기 [소댕쓰]",2021-7-20.,https://www.youtube.com/watch?v=m2C53sV8PFA
뷔스티에 원피스를 (1+1 이너원피스까지) 함께 만들어 보았다,2021-7-1.,https://www.youtube.com/watch?v=Qn1-yWN6F7w
뷔스티에원피스 만들기 (DIY bustier dress free pattern),2021-6-4.,https://www.youtube.com/watch?v=6ozL4RvwrWk
뷔스티에원피스,2021-8-18.,https://www.youtube.com/shorts/w4yYHlBVpVw
DIY소잉] DIY Sewing 뷔스티에 원피스 만들기 ㅣHow to Make Bustier dressㅣ천나라DIY,2021-6-2.,https://www.youtube.com/watch?v=1L_2tNR7Wt0
"sub) DIY 생활한복, 철릭 저고리 뷔스티에 원피스 만들기 chulik dress daily hanbok making",2021-9-8.,https://www.youtube.com/watch?v=pbS2nDA6iQA
뷔스티에원피스 (가볍고 따뜻한 실로 뜨고있어요~),2022-2-15.,https://www.youtube.com/watch?v=kHSxIUagKwA
DIY 뷔스티에 원피스 옷만들기 +PDF패턴 Bustier Dress(OJDR0001)ㅣ온라인 소잉 독학클래스,2022-3-6.,https://www.youtube.com/watch?v=ZaQU5rS9FQM
"218182)뷔스티에 롱 원피스/재단,Bustier Long Dress/cutting",2021-8-1.,https://www.youtube.com/watch?v=Zs6S94cXtU0
4만원이하‼️ '코코앤유' 봄패션하울🌸 핫해지고 싶은 통통이 다 드루와!,2022-3-30.,https://www.youtube.com/watch?v=EcVFzhwIwwQ
