영상 번호,제목,주소
1,조명추천💡조명만 몇백 개 본 리빙 편집숍 디자인팀이 추천하는 조명,https://www.youtube.com/watch?v=Bz0PEb5CSTo
2,[소장각💡조명 추천] 이케아에서 꼭 사야하는 조명 3가지!!,https://www.youtube.com/watch?v=EcW4py8igtg
3,"인테리어 조명 추천 8 | 루이스폴센 판텔라, 루이스폴센 PH 4/3, 아르떼미데 네시노, 앤트레디션 세타고 포터블 램프, 네모라이팅 랑프 드 마르세유, 에프에프 컬렉티브",https://www.youtube.com/watch?v=N35VRUbu6_E
4,"내돈내산 1만원~90만원대 인테리어 조명 추천 5가지 | 루이스폴센, 우메이, 이케아 | Louis poulsen, umage, ikea",https://www.youtube.com/watch?v=bAgtZteiQAw
5,"우리집 분위기 담당✨ 인테리어 조명 추천 & 리뷰 | 렉슨, 일광전구, 이케아, 선셋 조명",https://www.youtube.com/watch?v=EP8tbIzeBFs
6,"[영상초보가이드] 어떤 모양의 조명을 선택해야 하나, 후회 없는 선택을 위한",https://www.youtube.com/watch?v=bv5PkqjIGvM
7,"스마트조명 추천, 스마트조명계의 원조, LIFX 추천 리뷰 영상",https://www.youtube.com/watch?v=nKNB_hY5o-k
8,"거실 조명 인테리어 추천 | 조명종류, 매입등, 간접조명, 라인조명, 펜던트 등, 실링팬 시공",https://www.youtube.com/watch?v=dKNHd2uNK4w
9,[을지로 조명가게 스타일별 조명 6종 추천] 직접 써본 조명 리뷰 | 제품설명 | 가격 | 스타일별매치 |,https://www.youtube.com/watch?v=CnWy0ELYEyc
10,방송조명 추천 판매순위 Top10 || 가격 평점 후기 비교,https://www.youtube.com/watch?v=qbYoKRcxxxo
11,유튜브 퀄리티 2배 끌어올리는 sl60w 영상 조명(유튜브 촬영은 조명이 30% 기여합니다),https://www.youtube.com/watch?v=x6Ff6ihm7Yo
12,집에 두면 분위기 확 사는 조명 추천! / 앤트레디션 세타고 / 아르떼미데 네소 / 루이스폴센 판델라,https://www.youtube.com/watch?v=-BbzUXrJLCg
13,"깔끔하게 인테리어 하기 좋은 이케아 추천템 9 | 조명, 가구, 선반, 러그, 테이블, 소품 등",https://www.youtube.com/watch?v=Pu7oUL_gmGs
14,"유튜브 RGB 컬러 조명 추천 ""난라이트 파보튜브 6C"" NANLITE Pavotube II 6C",https://www.youtube.com/watch?v=1PhOm7-hhYQ
15,유튜브 시작하는 분들께 추천하는 RGB 컬러 조명 고독스 CL10 가성비 최고 예쁜 배경 만들고 떡상하세요!!,https://www.youtube.com/watch?v=IqKCbaxM_u4
16,30평대 인테리어 조명만 바꿔도 집이 예뻐지는 방법,https://www.youtube.com/watch?v=IWve7X2JqC8
