,Timestamp,Weekday,Embedded_text,Emojis,Comments,Likes,Retweets,Tweet URL
0,2022-05-01 06:00:09,Sunday,"트위터에 이 책 추천이 없는게 신기하다. 작년에 읽은 10+권의 페미니즘 서적 중 가장 통찰력 있고 명징했던 책, <남성특권: 여성혐오는 어디에서 비롯되는가> (케이트 만, 오월의봄) 페미니즘서적 코너에서 이것저것 들춰보다 목차를 보고 사지 않을 수 x.. 번역도 매끄러움
1
435
551",🐝,1,435,551,https://twitter.com/daybydaybee/status/1520644223800061952
1,2022-05-01 01:50:56,Sunday,"들녘 출판사에서 <마법소녀는 왜 세상을 구하지 못했을까>를 보내주셨어요. 제목만 듣고 덕후짓 하는 작가에게 덕후 에세이 보내주시려나보다 했는데, 읽어보니 훨씬 무겁고 학구적인 방법으로 접근하는 책이더라고요. 엄청난 디테일로 채워진 책입니다. 강력 추천 
61
51",🎗 🤗,0,61,51,https://twitter.com/foolramzi/status/1520581504346181632
2,2022-05-01 05:34:10,Sunday,"#청년의_책장 <컬러의 시간, 제임스 폭스 저>
‘검정, 빨강, 노랑, 파랑, 하양, 보라, 초록’ 에 대한 여러분들의 감상은 어떠신가요? 

 컬러의 역사들과 각각의 색들이 주는 의미와 상징에 대해 조금 더 깊고 넓게 알고 싶으신 분들에게 재미있는 책 한 권 추천 드립니다 :) 

+)
1
72
250",,1,72,250,https://twitter.com/youthful_museum/status/1520637685362470912
3,2022-05-01 08:19:08,Sunday,"동시통역사면서 박사학위를 가진 사람을 나 자신을 포함해서 3명 밖에 모르는데, 그 중 한 명이 마리텔에서 ""통역좌""로 유명해진 우기홍 선배. 한일통번역 목표로 하시는 분은 이 책 읽어보시길 추천드립니다.
39
69",,0,39,69,https://twitter.com/drjpstudies/status/1520679197387399168
4,2022-05-01 14:55:51,Sunday,"이 책 진짜 좋음... 일본어 쓸 일 많은 회사원들한테도 추천...
트윗 인용하기
Dr. Japanese Studies(日本学) 【2021 Goal=Writing Book】
@drjpstudies
 · 5월 1일
동시통역사면서 박사학위를 가진 사람을 나 자신을 포함해서 3명 밖에 모르는데, 그 중 한 명이 마리텔에서 ""통역좌""로 유명해진 우기홍 선배. 한일통번역 목표로 하시는 분은 이 책 읽어보시길 추천드립니다.
1
3",,0,1,3,https://twitter.com/t___m___i718/status/1520779034493276160
5,2022-05-01 14:51:59,Sunday," ☆트위터 교류해시 추천☆
──────────────────
레양님은 #마음한_트친에게_책_펼쳐서_아무_문장_써준다 ♪
https://gaeyou.com/t/?262901
교류없던 지난날의 나를 반성하며,,,
안친해두 초멘이어두 다 찔러봐쥬세오
조금 천천히 올릴게용!
7
1
10",🌹 🐫 ♥,7,1,10,https://twitter.com/rayang00/status/1520778064275570688
6,2022-05-01 15:12:27,Sunday,"님들 인외서커스가 그렇게 기괴해요??? 책추천받는데 기과하데.. 트리거 눌릴수있다는말에 당황스러움 뭐..난 없어서 상관은없는데
1
3",,0,1,3,https://twitter.com/pungmue_/status/1520783214042021888
7,2022-05-01 23:00:01,Sunday,"민음사 유튜브 왤케 재밌음,,, 책추천 다 읽고싶네 역시 한국 가서 종이책을 사야
2",,0,0,2,https://twitter.com/teamoS2_S2/status/1520900881469816832
8,2022-05-01 02:45:47,Sunday,"타임라인에 스쳐지나간 <UML distilled> 추천을 보고 사보았다. 그간 '시스템 기획자'라는 직군을 정의하고 JD를 수차례 쓰면서도 이 카테고리를 몰랐다는게 부끄러울 정도로, 막연히 궁금했던 것들이 정리되어 있는 좋은 책이었다.
2",,0,0,2,https://twitter.com/capelliano2020/status/1520595307561512960
9,2022-05-01 13:54:03,Sunday," ☆트위터 교류해시 추천☆
──────────────────
무명님은 #마음한_트친에게_책_펼쳐서_아무_문장_써준다 ♪
https://gaeyou.com/t/?262901
심심하니 가보자구
1
13",🐍,1,0,13,https://twitter.com/honer_65/status/1520763481884020737
10,2022-05-01 01:30:47,Sunday,"책 추천 고마웡~ 행복한 5월을 함께 했으면 좋겠당!! 

#유지민은봐라
1",💙 💙,0,0,1,https://twitter.com/yujirinamin/status/1520576432455700480
11,2022-05-01 03:23:02,Sunday,애덤 그랜트는 완전 다독가인가봐. 무슨 책 마다 애덤 그랜트 추천 딱지가 붙어 있어,,0,0,0,https://twitter.com/bammashil/status/1520604683353878528
12,2022-05-01 08:44:57,Sunday,"문학 수행으로 할 만한 한국현대문학 책 추천..해주세용...ㅜ
3
5",,3,0,5,https://twitter.com/ZHS_NanDo/status/1520685695140270080
13,2022-05-01 09:07:55,Sunday,"서점 왔는 데 재밌는 책 추천 해주세요:)
2",👑,0,0,2,https://twitter.com/Queen_Regina79/status/1520691474828251136
