,product_name,price,review,likes,views,total_sales,type
0,[SET][기본핏+레귤러핏 선택] 크리스피 나일론 쇼츠 -13컬러,"68,000원 35,900원","9,371","29,895",26.2만 회 이상,2.9만 개 이상,숏팬츠
1,[패키지] BASIC HALF PANTS (13COLOR) [LRQMCPH701M],"56,000원 35,000원","34,227","46,299",7.9만 회 이상,5.2만 개 이상,숏팬츠
2,[패키지] 미니멀 트레이닝 essential 반바지,"51,800원 29,900원","7,156","20,768",6.4만 회 이상,3.3만 개 이상,숏팬츠
3,Deep One Tuck Sweat Shorts [Grey],"32,000원 28,800원","1,954","10,661",10.2만 회 이상,8.2천 개 이상,숏팬츠
4,스우시 반바지 블랙,"49,000원 29,900원","16,205","51,810",6.9만 회 이상,3만 개 이상,숏팬츠
5,[패키지] 코스모 밴딩 숏팬츠 2PACK JMSP2332,"51,800원 33,600원","7,835","19,614",4.4만 회 이상,2.9만 개 이상,숏팬츠
6,유틸리티 쇼츠 [블랙],"23,900원","21,421","15,064",2.5만 회 이상,9천 개 이상,숏팬츠
7,스웨트 쇼츠 [멜란지 그레이],"19,900원","4,052","6,056",2.7만 회 이상,7.6천 개 이상,숏팬츠
8,[2-PACK]트래블러 쇼츠_써머패키지,"110,000원 35,900원","4,504","12,315",2.7만 회 이상,1.1만 개 이상,숏팬츠
9,스웨트 쇼츠 [블랙],"19,900원","3,323","5,388",1.6만 회 이상,5.5천 개 이상,숏팬츠
10,나일론 이지 쇼츠_7.5인치 [블랙],"20,900원","7,596","8,810",1.6만 회 이상,9.1천 개 이상,숏팬츠
11,Deep One Tuck Sweat Shorts [Black],"32,000원 28,800원",453,"2,167",2.4만 회 이상,2.2천 개 이상,숏팬츠
12,[패키지] Ver.2 클래식밴딩반바지 9종 패키지 KHSP0427,"45,800원 39,800원","9,202","7,985",7.7천 회 이상,3.4천 개 이상,숏팬츠
13,나일론 이지 쇼츠_5.5인치 [블랙],"20,900원","4,452","5,659",1.1만 회 이상,6.6천 개 이상,숏팬츠
14,6/14 배송 투턱 버뮤다 애드 데님 쇼츠_2 COLOR,"41,900원 31,710원",160,"2,478",3.3만 회 이상,1.1천 개 이상,숏팬츠
15,[SET][기본핏+레귤러핏 선택] 소프트 코튼 에센셜 쇼츠,"71,900원 35,900원",838,"4,122",2.9만 회 이상,3.7천 개 이상,숏팬츠
16,3S 에센셜 숏 팬츠 - 블랙 / GK9988,"45,000원 35,900원",999,"3,966",1만 회 이상,4.6천 개 이상,숏팬츠
17,TE 유틸리티 숏 팬츠 - 블랙 / FJ4065,"29,000원 24,900원","1,869","5,352",1만 회 이상,2.4천 개 이상,숏팬츠
18,유틸리티 쇼츠 [카키],"23,900원","5,313","3,257",6.2천 회 이상,2.7천 개 이상,숏팬츠
19,유틸리티 쇼츠 [베이지],"23,900원","5,642","3,029",6.2천 회 이상,2.2천 개 이상,숏팬츠
20,버뮤다 원턱 하프 팬츠_Black,"45,000원 39,000원","1,092","3,891",2.5만 회 이상,3.9천 개 이상,숏팬츠
21,[리뉴얼][패키지] Linen Shorts (6COLOR),"66,000원 36,300원","6,675","7,315",8.4천 회 이상,1.8천 개 이상,숏팬츠
22,핀턱 치노 워싱 와이드 반바지 [베이지],"47,000원 41,500원",296,"1,664",1.1만 회 이상,1.3천 개 이상,숏팬츠
23,미니멀 트레이닝 essential 반바지 (멜란지),"31,800원 17,900원",987,"2,264",8.4천 회 이상,3.3천 개 이상,숏팬츠
24,[패키지] UTILITY TASLAN SHORT PANTS (9 COLORS) [LRPMCPH702M],"64,000원 39,000원","2,000","4,730",1.1만 회 이상,7.3천 개 이상,숏팬츠
25,[8187BK] 짐 쇼츠 - 블랙,"24,900원 9,900원","2,744","4,995",9.6천 회 이상,5.2천 개 이상,숏팬츠
26,3일 지연 SWEAT SHORTS MARCHE EMBLEM_NAVY CREAM,"59,000원",188,"4,093",3.1만 회 이상,1.1천 개 이상,숏팬츠
27,TAG SHORT PANTS - BLACK,"49,000원 39,000원",461,"2,149",1.2만 회 이상,1.3천 개 이상,숏팬츠
28,우먼즈 라운지 쇼츠 [블랙],"15,900원",984,"7,487",1.4만 회 이상,2.6천 개 이상,숏팬츠
29,6/3 배송 딥 원턱 스웨트 버뮤다 반바지_블랙,"44,000원 24,900원",88,"1,479",1.8만 회 이상,700개 이상,숏팬츠
30,유틸리티 쇼츠 [라이트 그레이],"23,900원 21,490원","3,663","2,626",5.5천 회 이상,3.4천 개 이상,숏팬츠
31,3일 지연 SWEAT SHORTS MARCHE EMBLEM_OATMEAL BLACK,"59,000원 53,100원",381,"7,680",4.4만 회 이상,2천 개 이상,숏팬츠
32,엔젤 퍼티그 나일론 숏팬츠 블랙,"49,000원 39,200원",64,793,1.2만 회 이상,600개 이상,숏팬츠
33,코튼 이지 쇼츠 [블랙],"20,900원","3,891","3,903",6.7천 회 이상,4.2천 개 이상,숏팬츠
34,남성용 스우시 플로우 우븐 반바지 숏팬츠,"54,800원",317,"2,856",1.8만 회 이상,1.6천 개 이상,숏팬츠
35,라이트웨이트 히든 밴딩 하프 슬랙스 [블랙],"28,900원","1,909","3,435",1.1만 회 이상,4천 개 이상,숏팬츠
36,one tuck denim shorts indigo washed,"69,000원","1,647","8,833",5.7만 회 이상,5천 개 이상,숏팬츠
37,[22SS] [패키지] 2pack 플리터 하프 팬츠 4종 JUSP4484,"57,800원 38,700원",54,717,8.5천 회 이상,400개 이상,숏팬츠
38,Deep One Tuck Sweat Shorts [White Grey],"32,000원 28,800원",178,922,9.8천 회 이상,700개 이상,숏팬츠
