,product_name,price,review,likes,views,total_sales,type
0,유니섹스 세미 와이드 밴딩 슬랙스,"54,000원 32,900원","56,572","172,411",56.2만 회 이상,23.2만 개 이상,슈트팬츠/슬랙스
1,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],"32,900원","78,334","87,891",19.6만 회 이상,12.6만 개 이상,슈트팬츠/슬랙스
2,[유아인 착용 상품] 세미 와이드 히든 밴딩 슬랙스 [블랙],"32,900원","70,490","67,649",16.8만 회 이상,7.8만 개 이상,슈트팬츠/슬랙스
3,5/18 배송 [유아인 착용 상품] 와이드 히든 밴딩 슬랙스 [블랙],"32,900원","49,825","60,125",14.2만 회 이상,7.8만 개 이상,슈트팬츠/슬랙스
4,와이드 히든 밴딩 슬랙스 [미디엄 그레이],"32,900원","33,946","53,045",10.7만 회 이상,5.4만 개 이상,슈트팬츠/슬랙스
5,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],"32,900원","19,481","22,224",7만 회 이상,2.8만 개 이상,슈트팬츠/슬랙스
6,라이트웨이트 테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],"32,900원","7,333","12,053",4만 회 이상,1만 개 이상,슈트팬츠/슬랙스
7,[쿨탠다드] 테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],"34,900원","10,453","22,950",14.8만 회 이상,3.2만 개 이상,슈트팬츠/슬랙스
8,유니섹스 세미 와이드 밴딩 슬랙스 아이보리,"54,000원 32,900원","6,577","21,572",10.5만 회 이상,2.8만 개 이상,슈트팬츠/슬랙스
9,밴딩 와이드 슬랙스 P 035_BK,"39,000원 28,000원","18,350","34,155",2.5만 회 이상,1.4만 개 이상,슈트팬츠/슬랙스
10,5/18 배송 [유아인 착용 상품] 리얼 와이드 히든 밴딩 슬랙스 [블랙],"32,900원","13,377","20,831",4.8만 회 이상,1.9만 개 이상,슈트팬츠/슬랙스
11,유니섹스 세미 와이드 밴딩 슬랙스 그레이,"54,000원 32,900원","7,083","17,912",6.8만 회 이상,2.5만 개 이상,슈트팬츠/슬랙스
12,라이트웨이트 테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],"32,900원","13,776","23,222",4.9만 회 이상,2.8만 개 이상,슈트팬츠/슬랙스
13,라이트웨이트 세미 와이드 히든 밴딩 슬랙스 [블랙],"32,900원","12,471","19,496",4만 회 이상,2.8만 개 이상,슈트팬츠/슬랙스
14,[드로우핏X깡스타일리스트] 밴딩 테이퍼드 슬랙스 [BLACK],"60,000원 49,800원","2,712","5,926",5.1만 회 이상,1만 개 이상,슈트팬츠/슬랙스
15,세미 와이드 슬릿 히든 밴딩 슬랙스 [블랙],"32,900원","10,037","15,982",2.4만 회 이상,1.3만 개 이상,슈트팬츠/슬랙스
16,테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],"32,900원","10,844","12,974",1.8만 회 이상,1.7만 개 이상,슈트팬츠/슬랙스
17,세미 와이드 히든 밴딩 슬랙스 [더스티 베이지],"32,900원","7,768","8,781",1.7만 회 이상,9.8천 개 이상,슈트팬츠/슬랙스
18,라이트웨이트 테이퍼드 히든 밴딩 크롭 슬랙스 [미디엄 그레이],"32,900원","2,727","3,585",2.1만 회 이상,5천 개 이상,슈트팬츠/슬랙스
19,테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 베이지],"32,900원","3,829","8,531",2.7만 회 이상,1.1만 개 이상,슈트팬츠/슬랙스
20,밴딩 실루엣 팬츠 블랙,"117,000원 99,450원",895,"3,187",3.8만 회 이상,2.8천 개 이상,슈트팬츠/슬랙스
21,와이드 밴딩 슬랙스_Black,"37,500원 26,250원","13,154","27,393",8.1천 회 이상,3.6천 개 이상,슈트팬츠/슬랙스
22,라이트웨이트 테이퍼드 히든 밴딩 크롭 슬랙스 [라이트 그레이],"32,900원","3,850","4,239",1.5만 회 이상,4.2천 개 이상,슈트팬츠/슬랙스
23,와이드 히든 밴딩 슬랙스 [더스티 베이지],"32,900원","8,795","10,971",1.6만 회 이상,1.1만 개 이상,슈트팬츠/슬랙스
24,리얼 와이드 벨티드 슬랙스 [블랙],"36,900원","1,083","4,670",3.1만 회 이상,4.7천 개 이상,슈트팬츠/슬랙스
25,테이퍼드 히든 밴딩 크롭 슬랙스 [더스티 베이지],"32,900원","8,888","9,828",2.4만 회 이상,1.2만 개 이상,슈트팬츠/슬랙스
26,[드로우핏X깡스타일리스트] 밴딩 와이드 슬랙스 [BLACK],"60,000원 49,800원","2,079","5,449",3.2만 회 이상,6.8천 개 이상,슈트팬츠/슬랙스
27,라이트웨이트 스키니 히든 밴딩 크롭 슬랙스 [블랙],"32,900원","2,515","5,282",1.5만 회 이상,6.8천 개 이상,슈트팬츠/슬랙스
28,[그린] 리사이클 원 턱 릴렉스드 테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],"39,900원",95,"1,185",3.1만 회 이상,1.3천 개 이상,슈트팬츠/슬랙스
