,product_name,price,review,likes,views,total_sales,type
0,Deep One Tuck Sweat Pants [Grey],"39,000원","47,704","125,637",24만 회 이상,14.1만 개 이상,트레이닝팬츠
1,원턱 와이드 스웨트팬츠 그레이,"52,000원 36,400원","7,911","44,283",19.2만 회 이상,4.2만 개 이상,트레이닝팬츠
2,[패키지] 와이드핏 트레이닝 스웨트 팬츠,"66,800원 39,900원","18,080","46,541",11.9만 회 이상,7.1만 개 이상,트레이닝팬츠
3,[패키지] 루즈핏 트레이닝 스웨트 팬츠,"64,800원 37,900원","39,022","80,333",5.1만 회 이상,7.2만 개 이상,트레이닝팬츠
4,Classic Sweat Pants [Grey],"39,000원","49,810","71,906",5.5만 회 이상,5만 개 이상,트레이닝팬츠
5,Wide String Cargo Slacks Pants Black,"89,000원 39,000원","11,944","45,828",9만 회 이상,3.5만 개 이상,트레이닝팬츠
6,사계절 스트링 트레이닝팬츠 (그레이),"60,000원 48,000원","12,707","37,047",9만 회 이상,2.3만 개 이상,트레이닝팬츠
7,SS미니멀 스탠다드 카고조거 슬랙스,"89,000원 46,900원","34,156","59,565",4.4만 회 이상,2.8만 개 이상,트레이닝팬츠
8,와이드 조거 스웻 팬츠 (MELANGE GREY),"39,000원 34,000원","10,783","37,094",6.5만 회 이상,4.6만 개 이상,트레이닝팬츠
9,[패키지] 루즈핏 조거 트레이닝 스웨트 팬츠,"66,800원 39,900원","21,954","43,947",2.8만 회 이상,4.5만 개 이상,트레이닝팬츠
10,에센셜 3S 윈드 팬츠 - 블랙:화이트 / DQ3100,"65,000원 39,900원","12,101","45,967",6.8만 회 이상,1.5만 개 이상,트레이닝팬츠
11,Deep One Tuck Sweat Pants [Black],"39,000원","10,211","20,820",4.3만 회 이상,2.9만 개 이상,트레이닝팬츠
12,라운지 스웨트 팬츠 [블랙],"25,900원","14,493","28,765",3.1만 회 이상,3.3만 개 이상,트레이닝팬츠
13,원턱 와이드 스웨트팬츠 블랙,"52,000원 36,400원","2,197","10,737",4.5만 회 이상,1.1만 개 이상,트레이닝팬츠
