영상 번호,댓글
1,이런 컨텐츠 좋은 거 같아요~몰랐던 브래드도 알고 메인템도 알아서 좋네요~
1,각 브랜드에서 매력있는 아이템들이 많은걸 알아서 좋았네요 ㅎㅎ
1,형 이런 컨셉 유료광고면 한달에 3번 이상 유료광고 받아도 볼만한 느낌… 짱이다 형️
1,마지막 바지 예뻐서 사려고봤더니 품절이네요 ㅠㅠ 재입고되면 바로사야지 !
1,와 데님셔츠는 가격대비 미치긴한듯
1,이야 파르티멘토 가성비는 알고있었지만 감성이 너무 영한브랜드여서 구매하지는 안았는데 셔츠는 40대인 내가 입어도 되겟어요 구매했습니다
1,굿ㅋㅋㅋㅋ니티드 고민중이였는데 착샷 보고 바로 결제완료
1,바로샀다!!! 데님셔츠 갰!
1,와 형.. 데님셔츠 보자마자 그냥 바로 질렀어.. 사랑해형  남자의 사랑도 받아줬으면해 
1,파르티멘토랑 린넨 팬츠 핏 진짜 예쁘다 바로사야지
1,아 진짜 영상보기 전에 어제 보면서 비디키 데님쇼츠 살려고 장바구니 넣어놨는데 핏더 때문에 품절이네.. 킹받네
1,데님 셔츠  가격 미쳤네 바로 구매함
1,형님의 수줍은 ZZI ZZI가 아주 귀엽습니다 ️
1,형 덕에 다양한 브랜드 알아서 넘 조아
1,"데님셔츠에 카고팬츠 ,마지막 체커보드로 읏되다요오오오오!!! 거기에 귀걸이도 이츠 긔여워!!!"
1,저번영상 보고 파자마 팬츠 장바구니에 담아놨는데 할인해주네ㅎㅎ 요즘 린넨이라 써놓고 폴리 섞는 제품들 많은데 진짜 린넨 50%이상 넣어주니까 넘 좋다
1,"형님 착용하고 계신 악세사리류들도 특집 한번 해주시져 반지, 팔찌 등등"
1,좋은아이템 감사합니더 선쇙니임
1,와 데님셔츠 개이쁘다 바로 카드 슬레쉬~!!!
1,착장이 어더케 다 이뿌지 읏며들어버렸나봐..
1,형 귀걸이까지 끼니까 마오리족을 점점 닮아가고있어
1,덩치도 살만한 제품이닷 데님셔츠 바로 주문
1,36이상 입는 사람 큰옷들도 추천해주시는 영상도 올려주시면 좋겠어요 상의도요
1,데님 반바지는 벌써 품절이네요ㄷㄷ
1,할인 어떻게 받는거에요??
1,아이템 소개할 때 나오는 음악들 궁금해요!
1,진짜 형은 너무 잘생기다가 말았어 ㅜㅜ 사랑해 형️️️️뀨읏!
1,헤드메이너 펜츠같은 저런항아리핏(?) 조금 저렴한 브렌드 추천해줘요오오~~~
1,여억시 형 추천해준거는 읏된다
1,역시 OAM x 에씰미 코디 읏되버린다
1,이번꺼는 진짜 구매할만하다
1,파르티멘토 셔츠 블루랑 블랙중에 고민인데 어느게 나을까요
1,영상 잘보고갑니다 !!
1,볼때마다 친한동생이랑 싱크로율 100이너..
1,두번째 착장 반바지 로드존그레이 맞나요? 로드존그레이 홈페이지나 무신사에 해당제품이 아예 없어서요
1,비얼디드키드 제품 허리 작다고 찡얼거리는거 왜이리귀여움 ㅋㅋㅋㅋ
1,아ㅋㅋㅋㅋㅋㅋ 데님 조용히 잘 입고 있었는데 진짜ㅜㅌㅌㅋㅋ
1,니티드 반팔 니트는 넣입용인가요?
1,너무 좋아️️️️️
1,형님 파르티멘토 셔츠 한정기간을 못찾겠는데... 혹시 언제까지 인가요? ㅋㅋㅋ
